,0
0,10
1,101
2,1011
3,1012
4,1013
5,102
6,1021
7,1022
8,1023
9,1024
10,1025
11,1026
12,1027
13,1028
14,1029
15,11
16,111
17,1111
18,11111
19,111110
20,11112
21,111120
22,11113
23,111130
24,11114
25,111140
26,11115
27,111150
28,11116
29,111160
30,11119
31,111191
32,111199
33,1112
34,11121
35,111211
36,111219
37,1113
38,11131
39,111310
40,11132
41,111320
42,11133
43,111331
44,111332
45,111333
46,111334
47,111335
48,111336
49,111339
50,1114
51,11141
52,111411
53,111419
54,11142
55,111421
56,111422
57,1119
58,11191
59,111910
60,11192
61,111920
62,11193
63,111930
64,11194
65,111940
66,11199
67,111991
68,111992
69,111998
70,112
71,1121
72,11211
73,112111
74,112112
75,11212
76,112120
77,1122
78,11221
79,112210
80,1123
81,11231
82,112310
83,11232
84,112320
85,11233
86,112330
87,11234
88,112340
89,11239
90,112390
91,1124
92,11241
93,112410
94,11242
95,112420
96,1125
97,11251
98,112511
99,112512
100,112519
101,1129
102,11291
103,112910
104,11292
105,112920
106,11293
107,112930
108,11299
109,112990
110,113
111,1131
112,11311
113,113110
114,1132
115,11321
116,113210
117,1133
118,11331
119,113310
120,114
121,1141
122,11411
123,114111
124,114112
125,114119
126,1142
127,11421
128,114210
129,115
130,1151
131,11511
132,115111
133,115112
134,115113
135,115114
136,115115
137,115116
138,1152
139,11521
140,115210
141,1153
142,11531
143,115310
144,21
145,211
146,2111
147,21111
148,211111
149,211112
150,212
151,2121
152,21211
153,212111
154,212112
155,212113
156,2122
157,21221
158,212210
159,21222
160,212221
161,212222
162,21223
163,212231
164,212234
165,21229
166,212291
167,212299
168,2123
169,21231
170,212311
171,212312
172,212313
173,212319
174,21232
175,212321
176,212322
177,212324
178,212325
179,21239
180,212391
181,212392
182,212393
183,212399
184,213
185,2131
186,21311
187,213111
188,213112
189,213113
190,213114
191,213115
192,22
193,221
194,2211
195,22111
196,221111
197,221112
198,221113
199,221119
200,22112
201,221121
202,221122
203,2212
204,22121
205,221210
206,2213
207,22131
208,221310
209,22132
210,221320
211,22133
212,221330
213,23
214,236
215,2361
216,23611
217,236115
218,236116
219,236117
220,236118
221,2362
222,23621
223,236210
224,23622
225,236220
226,237
227,2371
228,23711
229,237110
230,23712
231,237120
232,23713
233,237130
234,2372
235,23721
236,237210
237,2373
238,23731
239,237310
240,2379
241,23799
242,237990
243,238
244,2381
245,23811
246,238111
247,238112
248,23812
249,238121
250,238122
251,23813
252,238131
253,238132
254,23814
255,238141
256,238142
257,23815
258,238151
259,238152
260,23816
261,238161
262,238162
263,23817
264,238171
265,238172
266,23819
267,238191
268,238192
269,2382
270,23821
271,238211
272,238212
273,23822
274,238221
275,238222
276,23829
277,238291
278,238292
279,2383
280,23831
281,238311
282,238312
283,23832
284,238321
285,238322
286,23833
287,238331
288,238332
289,23834
290,238341
291,238342
292,23835
293,238351
294,238352
295,23839
296,238391
297,238392
298,2389
299,23891
300,238911
301,238912
302,23899
303,238991
304,238992
305,31-33
306,311
307,3111
308,31111
309,311111
310,311119
311,3112
312,31121
313,311211
314,311212
315,311213
316,31122
317,311221
318,311222
319,311223
320,311225
321,31123
322,311230
323,3113
324,31131
325,311311
326,311312
327,311313
328,31132
329,311320
330,31133
331,311330
332,31134
333,311340
334,3114
335,31141
336,311411
337,311412
338,31142
339,311421
340,311422
341,311423
342,3115
343,31151
344,311511
345,311512
346,311513
347,311514
348,31152
349,311520
350,3116
351,31161
352,311611
353,311612
354,311613
355,311615
356,3117
357,31171
358,311711
359,311712
360,3118
361,31181
362,311811
363,311812
364,311813
365,31182
366,311821
367,311822
368,311823
369,31183
370,311830
371,3119
372,31191
373,311911
374,311919
375,31192
376,311920
377,31193
378,311930
379,31194
380,311941
381,311942
382,31199
383,311991
384,311999
385,312
386,3121
387,31211
388,312111
389,312112
390,312113
391,31212
392,312120
393,31213
394,312130
395,31214
396,312140
397,3122
398,31221
399,312210
400,31222
401,312221
402,312229
403,313
404,3131
405,31311
406,313111
407,313112
408,313113
409,3132
410,31321
411,313210
412,31322
413,313221
414,313222
415,31323
416,313230
417,31324
418,313241
419,313249
420,3133
421,31331
422,313311
423,313312
424,31332
425,313320
426,314
427,3141
428,31411
429,314110
430,31412
431,314121
432,314129
433,3149
434,31491
435,314911
436,314912
437,31499
438,314991
439,314992
440,314999
441,315
442,3151
443,31511
444,315111
445,315119
446,31519
447,315191
448,315192
449,3152
450,31521
451,315211
452,315212
453,31522
454,315221
455,315222
456,315223
457,315224
458,315225
459,315228
460,31523
461,315231
462,315232
463,315233
464,315234
465,315239
466,31529
467,315291
468,315292
469,315299
470,3159
471,31599
472,315991
473,315992
474,315993
475,315999
476,316
477,3161
478,31611
479,316110
480,3162
481,31621
482,316211
483,316212
484,316213
485,316214
486,316219
487,3169
488,31699
489,316991
490,316992
491,316993
492,316999
493,321
494,3211
495,32111
496,321113
497,321114
498,3212
499,32121
500,321211
501,321212
502,321213
503,321214
504,321219
505,3219
506,32191
507,321911
508,321912
509,321918
510,32192
511,321920
512,32199
513,321991
514,321992
515,321999
516,322
517,3221
518,32211
519,322110
520,32212
521,322121
522,322122
523,32213
524,322130
525,3222
526,32221
527,322211
528,322212
529,322213
530,322214
531,322215
532,32222
533,322221
534,322222
535,322223
536,322224
537,322225
538,322226
539,32223
540,322231
541,322232
542,322233
543,32229
544,322291
545,322299
546,323
547,3231
548,32311
549,323110
550,323111
551,323112
552,323113
553,323114
554,323115
555,323116
556,323117
557,323118
558,323119
559,32312
560,323121
561,323122
562,324
563,3241
564,32411
565,324110
566,32412
567,324121
568,324122
569,32419
570,324191
571,324199
572,325
573,3251
574,32511
575,325110
576,32512
577,325120
578,32513
579,325131
580,325132
581,32518
582,325181
583,325182
584,325188
585,32519
586,325191
587,325192
588,325193
589,325199
590,3252
591,32521
592,325211
593,325212
594,32522
595,325221
596,325222
597,3253
598,32531
599,325311
600,325312
601,325314
602,32532
603,325320
604,3254
605,32541
606,325411
607,325412
608,325413
609,325414
610,3255
611,32551
612,325510
613,32552
614,325520
615,3256
616,32561
617,325611
618,325612
619,325613
620,32562
621,325620
622,3259
623,32591
624,325910
625,32592
626,325920
627,32599
628,325991
629,325992
630,325998
631,326
632,3261
633,32611
634,326111
635,326112
636,326113
637,32612
638,326121
639,326122
640,32613
641,326130
642,32614
643,326140
644,32615
645,326150
646,32616
647,326160
648,32619
649,326191
650,326192
651,326199
652,3262
653,32621
654,326211
655,326212
656,32622
657,326220
658,32629
659,326291
660,326299
661,327
662,3271
663,32711
664,327111
665,327112
666,327113
667,32712
668,327121
669,327122
670,327123
671,327124
672,327125
673,3272
674,32721
675,327211
676,327212
677,327213
678,327215
679,3273
680,32731
681,327310
682,32732
683,327320
684,32733
685,327331
686,327332
687,32739
688,327390
689,3274
690,32741
691,327410
692,32742
693,327420
694,3279
695,32791
696,327910
697,32799
698,327991
699,327992
700,327993
701,327999
702,331
703,3311
704,33111
705,331111
706,331112
707,3312
708,33121
709,331210
710,33122
711,331221
712,331222
713,3313
714,33131
715,331311
716,331312
717,331314
718,331315
719,331316
720,331319
721,3314
722,33141
723,331411
724,331419
725,33142
726,331421
727,331422
728,331423
729,33149
730,331491
731,331492
732,3315
733,33151
734,331511
735,331512
736,331513
737,33152
738,331521
739,331522
740,331524
741,331525
742,331528
743,332
744,3321
745,33211
746,332111
747,332112
748,332114
749,332115
750,332116
751,332117
752,3322
753,33221
754,332211
755,332212
756,332213
757,332214
758,3323
759,33231
760,332311
761,332312
762,332313
763,33232
764,332321
765,332322
766,332323
767,3324
768,33241
769,332410
770,33242
771,332420
772,33243
773,332431
774,332439
775,3325
776,33251
777,332510
778,3326
779,33261
780,332611
781,332612
782,332618
783,3327
784,33271
785,332710
786,33272
787,332721
788,332722
789,3328
790,33281
791,332811
792,332812
793,332813
794,3329
795,33291
796,332911
797,332912
798,332913
799,332919
800,33299
801,332991
802,332992
803,332993
804,332994
805,332995
806,332996
807,332997
808,332998
809,332999
810,333
811,3331
812,33311
813,333111
814,333112
815,33312
816,333120
817,33313
818,333131
819,333132
820,3332
821,33321
822,333210
823,33322
824,333220
825,33329
826,333291
827,333292
828,333293
829,333294
830,333295
831,333298
832,3333
833,33331
834,333311
835,333312
836,333313
837,333314
838,333315
839,333319
840,3334
841,33341
842,333411
843,333412
844,333414
845,333415
846,3335
847,33351
848,333511
849,333512
850,333513
851,333514
852,333515
853,333516
854,333518
855,3336
856,33361
857,333611
858,333612
859,333613
860,333618
861,3339
862,33391
863,333911
864,333912
865,333913
866,33392
867,333921
868,333922
869,333923
870,333924
871,33399
872,333991
873,333992
874,333993
875,333994
876,333995
877,333996
878,333997
879,333999
880,334
881,3341
882,33411
883,334111
884,334112
885,334113
886,334119
887,3342
888,33421
889,334210
890,33422
891,334220
892,33429
893,334290
894,3343
895,33431
896,334310
897,3344
898,33441
899,334411
900,334412
901,334413
902,334414
903,334415
904,334416
905,334417
906,334418
907,334419
908,3345
909,33451
910,334510
911,334511
912,334512
913,334513
914,334514
915,334515
916,334516
917,334517
918,334518
919,334519
920,3346
921,33461
922,334611
923,334612
924,334613
925,335
926,3351
927,33511
928,335110
929,33512
930,335121
931,335122
932,335129
933,3352
934,33521
935,335211
936,335212
937,33522
938,335221
939,335222
940,335224
941,335228
942,3353
943,33531
944,335311
945,335312
946,335313
947,335314
948,3359
949,33591
950,335911
951,335912
952,33592
953,335921
954,335929
955,33593
956,335931
957,335932
958,33599
959,335991
960,335999
961,336
962,3361
963,33611
964,336111
965,336112
966,33612
967,336120
968,3362
969,33621
970,336211
971,336212
972,336213
973,336214
974,3363
975,33631
976,336311
977,336312
978,33632
979,336321
980,336322
981,33633
982,336330
983,33634
984,336340
985,33635
986,336350
987,33636
988,336360
989,33637
990,336370
991,33639
992,336391
993,336399
994,3364
995,33641
996,336411
997,336412
998,336413
999,336414
1000,336415
1001,336419
1002,3365
1003,33651
1004,336510
1005,3366
1006,33661
1007,336611
1008,336612
1009,3369
1010,33699
1011,336991
1012,336992
1013,336999
1014,337
1015,3371
1016,33711
1017,337110
1018,33712
1019,337121
1020,337122
1021,337124
1022,337125
1023,337127
1024,337129
1025,3372
1026,33721
1027,337211
1028,337212
1029,337214
1030,337215
1031,3379
1032,33791
1033,337910
1034,33792
1035,337920
1036,339
1037,3391
1038,33911
1039,339111
1040,339112
1041,339113
1042,339114
1043,339115
1044,339116
1045,3399
1046,33991
1047,339911
1048,339912
1049,339913
1050,339914
1051,33992
1052,339920
1053,33993
1054,339931
1055,339932
1056,33994
1057,339941
1058,339942
1059,339943
1060,339944
1061,33995
1062,339950
1063,33999
1064,339991
1065,339992
1066,339993
1067,339994
1068,339995
