"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"US000","0","10","10","0","2020","1","","U.S. TOTAL","Total Covered","10 Total, all industries","National, Total Covered","All establishment sizes",10447240,147279523,147858938,147088945,2341897353925,959777455098,17398935164,1222,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",341187,3.4,1951426,1.3,1917293,1.3,535872,0.4,96718076822,4.3,29194359210,3.1,-879887907,-4.8,39,3.3
"US000","1","10","11","0","2020","1","","U.S. TOTAL","Federal Government","10 Total, all industries","National, Total -- by ownership sector","All establishment sizes",61014,2838417,2839463,2857289,56666068074,0,0,1532,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1231,2.1,56633,2.0,43773,1.6,63421,2.3,1272633942,2.3,0,0.0,0,0.0,5,0.3
"US000","1","101","12","0","2020","1","","U.S. TOTAL","Federal Government","101 Goods-producing","National, by Domain -- by ownership sector","All establishment sizes",124,53277,53491,53716,1056415829,0,0,1519,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-3,-2.4,1039,2.0,990,1.9,900,1.7,39084769,3.8,0,0.0,0,0.0,29,1.9
"US000","1","1011","13","0","2020","1","","U.S. TOTAL","Federal Government","1011 Natural resources and mining","National, by Supersector -- by ownership sector","All establishment sizes",76,2849,2834,2915,48485074,0,0,1301,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-2,-2.6,25,0.9,-105,-3.6,-54,-1.8,1813557,3.9,0,0.0,0,0.0,68,5.5
"US000","1","1012","13","0","2020","1","","U.S. TOTAL","Federal Government","1012 Construction","National, by Supersector -- by ownership sector","All establishment sizes",2,4,4,4,178933,0,0,3441,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,-4,-50.0,-4,-50.0,-4,-50.0,46977,35.6,0,0.0,0,0.0,2172,171.2
"US000","1","1013","13","0","2020","1","","U.S. TOTAL","Federal Government","1013 Manufacturing","National, by Supersector -- by ownership sector","All establishment sizes",46,50424,50653,50797,1007751822,0,0,1531,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-1,-2.1,1018,2.1,1099,2.2,958,1.9,37224235,3.8,0,0.0,0,0.0,26,1.7
"US000","1","102","12","0","2020","1","","U.S. TOTAL","Federal Government","102 Service-providing","National, by Domain -- by ownership sector","All establishment sizes",60890,2785140,2785972,2803573,55609652245,0,0,1532,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1234,2.1,55594,2.0,42783,1.6,62521,2.3,1233549173,2.3,0,0.0,0,0.0,4,0.3
"US000","1","1021","13","0","2020","1","","U.S. TOTAL","Federal Government","1021 Trade, transportation, and utilities","National, by Supersector -- by ownership sector","All establishment sizes",30245,669845,663318,663609,9854838476,0,0,1139,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",109,0.4,-2299,-0.3,-10234,-1.5,-10689,-1.6,-35211060,-0.4,0,0.0,0,0.0,9,0.8
"US000","1","1022","13","0","2020","1","","U.S. TOTAL","Federal Government","1022 Information","National, by Supersector -- by ownership sector","All establishment sizes",126,6622,6631,6618,127289856,0,0,1478,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,0.8,65,1.0,100,1.5,90,1.4,4426555,3.6,0,0.0,0,0.0,33,2.3
"US000","1","1023","13","0","2020","1","","U.S. TOTAL","Federal Government","1023 Financial activities","National, by Supersector -- by ownership sector","All establishment sizes",775,11940,11864,11861,357881666,0,0,2316,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-16,-2.0,-152,-1.3,-161,-1.3,-191,-1.6,21351515,6.3,0,0.0,0,0.0,169,7.9
"US000","1","1024","13","0","2020","1","","U.S. TOTAL","Federal Government","1024 Professional and business services","National, by Supersector -- by ownership sector","All establishment sizes",1464,67888,67782,68035,1423368888,0,0,1612,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",5,0.3,1498,2.3,1475,2.2,1567,2.4,-76628392,-5.1,0,0.0,0,0.0,-126,-7.2
"US000","1","1025","13","0","2020","1","","U.S. TOTAL","Federal Government","1025 Education and health services","National, by Supersector -- by ownership sector","All establishment sizes",1373,423031,423966,422717,8461213409,0,0,1538,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",12,0.9,4586,1.1,4095,1.0,1901,0.5,280722480,3.4,0,0.0,0,0.0,39,2.6
"US000","1","1026","13","0","2020","1","","U.S. TOTAL","Federal Government","1026 Leisure and hospitality","National, by Supersector -- by ownership sector","All establishment sizes",1522,43984,44491,44497,544855793,0,0,946,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",2,0.1,-580,-1.3,-644,-1.4,-944,-2.1,-3897969,-0.7,0,0.0,0,0.0,9,1.0
"US000","1","1027","13","0","2020","1","","U.S. TOTAL","Federal Government","1027 Other services","National, by Supersector -- by ownership sector","All establishment sizes",167,4587,4620,4598,63806732,0,0,1067,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",2,1.2,3,0.1,14,0.3,1,0.0,4224522,7.1,0,0.0,0,0.0,70,7.0
"US000","1","1028","13","0","2020","1","","U.S. TOTAL","Federal Government","1028 Public administration","National, by Supersector -- by ownership sector","All establishment sizes",25213,1557240,1563297,1581635,34776326779,0,0,1707,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1119,4.6,52473,3.5,48138,3.2,70786,4.7,1038594414,3.1,0,0.0,0,0.0,-11,-0.6
"US000","1","1029","13","0","2020","1","","U.S. TOTAL","Federal Government","1029 Unclassified","National, by Supersector -- by ownership sector","All establishment sizes",5,3,3,3,70646,0,0,1811,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,0,0.0,0,0.0,0,0.0,-32892,-31.8,0,0.0,0,0.0,-844,-31.8
"US000","1","11","14","0","2020","1","","U.S. TOTAL","Federal Government","NAICS 11 Agriculture, forestry, fishing and hunting","National, NAICS Sector -- by ownership sector","All establishment sizes",76,2849,2834,2915,48485074,0,0,1301,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-2,-2.6,25,0.9,-105,-3.6,-54,-1.8,1813557,3.9,0,0.0,0,0.0,68,5.5
"US000","1","112","15","0","2020","1","","U.S. TOTAL","Federal Government","NAICS 112 Animal production and aquaculture","National, NAICS 3-digit -- by ownership sector","All establishment sizes",2,19,19,18,302549,0,0,1247,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,-1,-5.0,-1,-5.0,-2,-10.0,-15808,-5.0,0,0.0,0,0.0,23,1.9
"US000","1","1125","16","0","2020","1","","U.S. TOTAL","Federal Government","NAICS 1125 Aquaculture","National, NAICS 4-digit -- by ownership sector","All establishment sizes",2,19,19,18,302549,0,0,1247,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,-1,-5.0,-1,-5.0,-2,-10.0,-15808,-5.0,0,0.0,0,0.0,23,1.9
"US000","1","11251","17","0","2020","1","","U.S. TOTAL","Federal Government","NAICS 11251 Aquaculture","National, NAICS 5-digit -- by ownership sector","All establishment sizes",2,19,19,18,302549,0,0,1247,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,-1,-5.0,-1,-5.0,-2,-10.0,-15808,-5.0,0,0.0,0,0.0,23,1.9
"US000","1","112511","18","0","2020","1","","U.S. TOTAL","Federal Government","NAICS 112511 Finfish farming and fish hatcheries","National, NAICS 6-digit -- by ownership sector","All establishment sizes",2,19,19,18,302549,0,0,1247,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,-1,-5.0,-1,-5.0,-2,-10.0,-15808,-5.0,0,0.0,0,0.0,23,1.9
"US000","1","113","15","0","2020","1","","U.S. TOTAL","Federal Government","NAICS 113 Forestry and logging","National, NAICS 3-digit -- by ownership sector","All establishment sizes",73,2821,2807,2888,48130052,0,0,1304,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-2,-2.7,26,0.9,-101,-3.5,-50,-1.7,1825242,3.9,0,0.0,0,0.0,67,5.4
"US000","1","1131","16","0","2020","1","","U.S. TOTAL","Federal Government","NAICS 1131 Timber tract operations","National, NAICS 4-digit -- by ownership sector","All establishment sizes",73,2821,2807,2888,48130052,0,0,1304,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-2,-2.7,26,0.9,-101,-3.5,-50,-1.7,1825242,3.9,0,0.0,0,0.0,67,5.4
"US000","1","11311","17","0","2020","1","","U.S. TOTAL","Federal Government","NAICS 11311 Timber tract operations","National, NAICS 5-digit -- by ownership sector","All establishment sizes",73,2821,2807,2888,48130052,0,0,1304,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-2,-2.7,26,0.9,-101,-3.5,-50,-1.7,1825242,3.9,0,0.0,0,0.0,67,5.4
"US000","1","113110","18","0","2020","1","","U.S. TOTAL","Federal Government","NAICS 113110 Timber tract operations","National, NAICS 6-digit -- by ownership sector","All establishment sizes",73,2821,2807,2888,48130052,0,0,1304,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-2,-2.7,26,0.9,-101,-3.5,-50,-1.7,1825242,3.9,0,0.0,0,0.0,67,5.4
"US000","1","114","15","0","2020","1","","U.S. TOTAL","Federal Government","NAICS 114 Fishing, hunting and trapping","National, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,8,9,52473,0,0,466,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,0,0.0,-3,-27.3,-2,-18.2,4123,8.5,0,0.0,0,0.0,106,29.4
